,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,600,"2,200.00","1,400.00",Rs./Quintal,31-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,300.00","1,400.00",Rs./Quintal,30-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,200.00","1,350.00",Rs./Quintal,29-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,200.00","1,350.00",Rs./Quintal,25-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,600,"2,300.00","1,450.00",Rs./Quintal,24-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,600,"2,200.00","1,400.00",Rs./Quintal,23-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,200.00","1,350.00",Rs./Quintal,22-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,100.00","1,300.00",Rs./Quintal,21-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,600,"2,500.00","1,550.00",Rs./Quintal,19-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,800,"2,700.00","1,750.00",Rs./Quintal,18-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,200.00","2,800.00","2,000.00",Rs./Quintal,17-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,100.00","2,700.00","1,900.00",Rs./Quintal,16-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,"1,000.00","2,700.00","1,850.00",Rs./Quintal,15-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,800,"2,600.00","1,700.00",Rs./Quintal,14-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,700,"2,400.00","1,550.00",Rs./Quintal,12-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,600,"2,200.00","1,300.00",Rs./Quintal,11-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,000.00","1,250.00",Rs./Quintal,09-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,500,"2,000.00","1,250.00",Rs./Quintal,08-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,300,"1,700.00","1,000.00",Rs./Quintal,07-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,05-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,300,"1,700.00","1,000.00",Rs./Quintal,04-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,03-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,02-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,01-12-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,30-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,300,"1,700.00","1,000.00",Rs./Quintal,28-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,27-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,800.00","1,100.00",Rs./Quintal,26-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,300,"1,700.00","1,000.00",Rs./Quintal,25-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,700.00","1,050.00",Rs./Quintal,24-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,800.00","1,100.00",Rs./Quintal,23-11-2025
Maharashtra,Pune,Pune APMC,Vegetables,Onion,Local,Local,400,"1,800.00","1,100.00",Rs./Quintal,21-11-2025
